,0,1,2,3,4
2012-12-24,2314 台揚 (太空衛星科技),2514 龍邦 (休閒娛樂),4128 中天 (製藥),4105 東洋 (製藥),1789 神隆 (製藥)
2012-12-25,1201 味全 (食品),2314 台揚 (太空衛星科技),1440 南紡 (紡織),3380 明泰 (太空衛星科技),2049 上銀 (自動化)
2012-12-26,1789 神隆 (製藥),2547 日勝生 (建材營造),1305 華夏 (石化及塑橡膠),4105 東洋 (製藥),5009 榮剛 (航太週邊)
2012-12-27,5347 世界 (半導體),4105 東洋 (製藥),3265 台星科 (半導體),2006 東和鋼鐵 (鋼鐵),5234 達興材料 (半導體)
2012-12-28,3508 位速 (其他),8081 致新 (半導體),3556 禾瑞亞 (半導體),5234 達興材料 (半導體),8271 宇瞻 (半導體)
2013-01-02,2385 群光 (電腦及週邊設備),5371 中光電 (人工智慧),4979 華星光 (通信網路),3008 大立光 (電腦及週邊設備),1722 台肥 (其他)
2013-01-03,3576 聯合再生 (太陽能產業),5347 世界 (半導體),3545 敦泰 (半導體),2002 中鋼 (鋼鐵),2449 京元電子 (半導體)
2013-01-04,6244 茂迪 (太陽能產業),3576 聯合再生 (太陽能產業),2547 日勝生 (建材營造),2474 可成 (電腦及週邊設備),9945 潤泰新 (建材營造)
2013-01-07,3576 聯合再生 (太陽能產業),6244 茂迪 (太陽能產業),2520 冠德 (建材營造),1308 亞聚 (石化及塑橡膠),2547 日勝生 (建材營造)
2013-01-08,5483 中美晶 (半導體),3576 聯合再生 (太陽能產業),6244 茂迪 (太陽能產業),2520 冠德 (建材營造),1308 亞聚 (石化及塑橡膠)
2013-01-09,2520 冠德 (建材營造),5483 中美晶 (半導體),3576 聯合再生 (太陽能產業),3234 光環 (半導體),6244 茂迪 (太陽能產業)
2013-01-10,2881 富邦金 (金融),2520 冠德 (建材營造),2610 華航 (交通運輸及航運),2823 中壽 (金融),2618 長榮航 (交通運輸及航運)
